Name
AAPL
ACN
ADBE
ADI
ADP
ADS
ADSK
AKAM
AMAT
AMD
ANET
ANSS
APH
AVGO
BR
CDNS
CRM
CSCO
CTSH
CTXS
DXC
FFIV
FIS
FISV
FLIR
FLT
FTNT
GLW
GPN
HPE
HPQ
IBM
INTC
INTU
IPGP
IT
JKHY
JNPR
KEYS
KLAC
LRCX
MA
MCHP
MSFT
MSI
MU
MXIM
NTAP
NVDA
ORCL
PAYX
PYPL
QCOM
QRVO
RHT
SNPS
STX
SWKS
SYMC
TEL
TSS
TXN
V
VRSN
WDC
WU
XLNX
XRX
